@relation SpokenArabicDigits_channel_7

@attribute channel_7_0 numeric
@attribute channel_7_1 numeric
@attribute channel_7_2 numeric
@attribute channel_7_3 numeric
@attribute channel_7_4 numeric
@attribute channel_7_5 numeric
@attribute channel_7_6 numeric
@attribute channel_7_7 numeric
@attribute channel_7_8 numeric
@attribute channel_7_9 numeric
@attribute channel_7_10 numeric
@attribute channel_7_11 numeric
@attribute channel_7_12 numeric
@attribute channel_7_13 numeric
@attribute channel_7_14 numeric
@attribute channel_7_15 numeric
@attribute channel_7_16 numeric
@attribute channel_7_17 numeric
@attribute channel_7_18 numeric
@attribute channel_7_19 numeric
@attribute channel_7_20 numeric
@attribute channel_7_21 numeric
@attribute channel_7_22 numeric
@attribute channel_7_23 numeric
@attribute channel_7_24 numeric
@attribute channel_7_25 numeric
@attribute channel_7_26 numeric
@attribute channel_7_27 numeric
@attribute channel_7_28 numeric
@attribute channel_7_29 numeric
@attribute channel_7_30 numeric
@attribute channel_7_31 numeric
@attribute channel_7_32 numeric
@attribute channel_7_33 numeric
@attribute channel_7_34 numeric
@attribute channel_7_35 numeric
@attribute channel_7_36 numeric
@attribute channel_7_37 numeric
@attribute channel_7_38 numeric
@attribute channel_7_39 numeric
@attribute channel_7_40 numeric
@attribute channel_7_41 numeric
@attribute channel_7_42 numeric
@attribute channel_7_43 numeric
@attribute channel_7_44 numeric
@attribute channel_7_45 numeric
@attribute channel_7_46 numeric
@attribute channel_7_47 numeric
@attribute channel_7_48 numeric
@attribute channel_7_49 numeric
@attribute channel_7_50 numeric
@attribute channel_7_51 numeric
@attribute channel_7_52 numeric
@attribute channel_7_53 numeric
@attribute channel_7_54 numeric
@attribute channel_7_55 numeric
@attribute channel_7_56 numeric
@attribute channel_7_57 numeric
@attribute channel_7_58 numeric
@attribute channel_7_59 numeric
@attribute channel_7_60 numeric
@attribute channel_7_61 numeric
@attribute channel_7_62 numeric
@attribute channel_7_63 numeric
@attribute channel_7_64 numeric
@attribute channel_7_65 numeric
@attribute channel_7_66 numeric
@attribute channel_7_67 numeric
@attribute channel_7_68 numeric
@attribute channel_7_69 numeric
@attribute channel_7_70 numeric
@attribute channel_7_71 numeric
@attribute channel_7_72 numeric
@attribute channel_7_73 numeric
@attribute channel_7_74 numeric
@attribute channel_7_75 numeric
@attribute channel_7_76 numeric
@attribute channel_7_77 numeric
@attribute channel_7_78 numeric
@attribute channel_7_79 numeric
@attribute channel_7_80 numeric
@attribute channel_7_81 numeric
@attribute channel_7_82 numeric
@attribute channel_7_83 numeric
@attribute channel_7_84 numeric
@attribute channel_7_85 numeric
@attribute channel_7_86 numeric
@attribute channel_7_87 numeric
@attribute channel_7_88 numeric
@attribute channel_7_89 numeric
@attribute channel_7_90 numeric
@attribute channel_7_91 numeric
@attribute channel_7_92 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.088906,0.50479,1.2611,0.25637,0.57174,-0.14486,0.16652,0.25782,0.26764,0.84991,0.14317,0.30002,0.13851,0.24684,0.69833,0.34793,0.84365,0.47205,-0.12204,-0.16958,-0.018381,0.23797,0.90665,0.10822,0.83185,-0.68531,-0.41396,-0.94669,-0.93408,-1.4893,-1.162,-0.12413,-0.36706,-0.81022,-0.93617,-0.91416,-0.78476,-0.84227,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.38878,-0.28775,0.22462,-0.61861,0.55472,0.68176,0.58971,0.61103,0.91894,-0.2559,0.15928,0.52458,0.38322,0.67501,0.64145,0.098111,0.35493,-0.77984,0.20843,0.19977,0.18033,0.015134,0.38009,0.28835,-0.46498,-0.81907,-0.60992,-0.70539,-0.73753,-0.55941,-0.75815,-0.64959,-1.0774,-0.9363,-0.42486,-0.89983,-1.5744,-1.1987,-1.176,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.0579,1.2852,-0.012381,0.31639,-0.3671,0.10425,-0.035924,-0.33582,-0.055941,0.81099,0.74541,-0.21729,0.13182,0.11883,-0.019634,-0.20778,-0.1765,-0.07077,-0.067766,-0.5647,-0.38671,0.23548,0.38918,0.44232,-0.99051,0.24018,0.8055,-0.62079,-0.82157,-0.92985,-0.76292,-0.77318,-1.0626,-0.69192,-0.64226,-0.85315,-1.1156,-0.74639,-0.84877,-0.50815,-1.2542,-0.35426,-0.34915,-1.0863,-1.5002,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.035232,0.58926,0.47943,-0.1375,-0.018078,0.86008,0.15835,0.24852,0.67121,0.1082,0.060481,-0.053273,-0.25495,-0.014007,0.020967,-0.23351,-1.4201,-0.42436,-0.056743,-0.29687,0.064343,0.35739,-0.7612,-0.24743,0.13622,-0.95491,-0.80886,-1.1305,-1.3246,-0.9416,-0.57561,-0.27883,-0.51649,-0.92514,-1.204,-0.56256,-0.95575,-1.4408,-1.4306,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.86194,0.41186,0.30836,0.47337,0.44478,0.5381,-0.10601,-0.10026,-0.55709,-0.080328,0.27633,0.26151,0.14686,-0.33311,-0.079398,-0.50273,-0.24513,-0.4865,-0.34149,-0.22721,-0.024894,0.68416,1.034,0.52917,0.41538,0.62325,-0.94317,-1.6792,-1.0421,-0.90974,-0.86703,-0.33417,-0.13544,-0.55908,-0.86054,-0.73008,0.48465,-0.76609,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.36997,0.60563,0.37248,0.35319,-0.17363,0.15035,0.028743,-0.244,-0.030735,0.001965,-0.1126,-0.44369,-0.49456,-0.74407,-0.59447,-0.98377,-0.26767,0.054265,0.22264,0.3828,0.82871,0.99559,0.41606,0.25688,-0.52825,-1.5187,-1.0697,-1.1651,-1.1308,-0.30972,-0.32661,-0.72124,-0.83551,-1.0651,0.83565,-0.7841,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
1.7371,0.43382,0.61969,-0.34586,0.70751,0.53215,-0.33052,0.13633,0.20827,0.42427,0.25944,-0.8459,0.31927,-0.002339,-0.67393,-0.11345,0.095723,-0.54386,-0.1153,-0.070616,-0.058482,0.45068,0.13933,-0.20382,-0.38788,0.25288,0.49908,-0.69925,-0.90182,-0.8494,-0.77294,-1.0338,-0.83423,-0.81681,-0.78135,-1.0451,-1.2552,-0.63478,-0.8221,-1.4842,-0.61594,-0.73145,-0.54894,-1.6471,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.65282,-0.4095,-0.59546,-0.79941,-0.82666,-0.40285,-0.24098,-0.40535,0.027751,-0.45318,-0.68307,0.017264,0.13546,-0.47274,0.49271,0.466,-0.024236,-0.87167,-1.197,-1.2621,-1.1856,-0.67969,-0.6943,-1.188,-0.93614,-0.89697,-1.3122,-1.41,-0.79474,-0.91606,-1.1786,-0.90425,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
-0.10504,0.71674,0.072609,0.29399,0.30423,0.2024,0.88471,-0.49972,0.11628,-0.43085,-0.3947,-0.75474,-0.59952,-0.64987,-0.01396,0.37822,0.83248,-0.5956,-0.1542,0.087794,-0.20581,-0.26525,-0.48884,-0.6053,-0.79677,-0.44533,-0.75078,-0.72867,-0.85139,-1.1023,-1.5232,-0.6375,-0.7407,-0.98272,-1.1602,-0.54507,-1.5276,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
0.2806,0.052558,0.24908,-0.32233,0.77588,0.20606,0.22453,0.081278,-0.066496,-0.34181,-0.74938,-0.48334,-0.48893,-0.37289,-0.5166,-0.79644,-0.034409,0.43234,0.73496,0.42571,0.46685,0.30686,-0.18505,0.24122,-0.69915,-0.78215,-1.0357,-1.4047,-1.2841,-0.59901,-0.62116,-0.61068,-0.81002,-1.28,-0.7816,-0.833,-1.4526,-1.0579,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1
